asset_id,subject_id,session_date,dmd,n_rois,mean_OSI,median_OSI,std_OSI,q25_OSI,q75_OSI,mean_DSI,median_DSI,std_DSI,q25_DSI,q75_DSI,n_tuned
98e54c75-2b4a-41ca-b502-b58d63b1f6d5,sub-776270,2025-07-02,DMD1,22,0.27649142584689085,0.24959871642986076,0.14922097837960713,0.16854886512039413,0.35774773866731246,0.2966160837750946,0.30053522457452875,0.11487157160970257,0.234902043112668,0.35650861822788504,12
98e54c75-2b4a-41ca-b502-b58d63b1f6d5,sub-776270,2025-07-02,DMD2,18,0.13615652226915137,0.1160182831403014,0.08937149492402863,0.08553928873584743,0.1670253635415049,0.16947318018427507,0.11259061252337174,0.13329439286853265,0.0777273576328098,0.21875226035257395,2
d23a03af-c3bd-4cf0-9492-6dca96fb201d,sub-803496,2025-07-02,DMD1,13,0.2107875466770557,0.17529054576895403,0.11124945782492214,0.11705782302115056,0.3013412976723331,0.2324273579410015,0.22032512992212722,0.1065894936133177,0.15415865690715078,0.26889586259754317,6
d23a03af-c3bd-4cf0-9492-6dca96fb201d,sub-803496,2025-07-02,DMD2,39,0.18926664187739864,0.1463072892915993,0.14330095380797273,0.08733156402817202,0.275562651987467,0.17751661907237762,0.14042120815419007,0.13022122532642466,0.07528175320755459,0.2573050071864829,12
22ad0a5a-c28c-45c7-af6f-98817ef16c54,sub-801381,2025-09-26,DMD1,41,0.26905437179685454,0.2324669655477912,0.14359820014341362,0.14292437796319551,0.37741781676770303,0.17828986075921197,0.14896806367315504,0.12072310638047272,0.07206115442745566,0.25575681575889203,26
22ad0a5a-c28c-45c7-af6f-98817ef16c54,sub-801381,2025-09-26,DMD2,72,0.19312791798851414,0.16416560896319787,0.13552076326273224,0.10936072309989753,0.22706375338961518,0.17323636280447863,0.15948525328398638,0.08732550225291617,0.11096077801196719,0.2284074674667723,22
2ecafd40-29a6-422f-92b0-32f7e940c783,sub-801381,2025-06-05,DMD1,41,0.11691494214875085,0.11331670565880897,0.06256799412830007,0.07593093034697394,0.15945880547342967,0.12254388513885696,0.09901014884750951,0.1014976683997972,0.057576448672975115,0.13634050320055324,5
2ecafd40-29a6-422f-92b0-32f7e940c783,sub-801381,2025-06-05,DMD2,90,0.19391720818055821,0.1576892079313995,0.11617692765370381,0.10684228041621995,0.26470493746618073,0.20676365051793158,0.20089825564630426,0.10761024046658096,0.12931007493753147,0.25881755062589873,36
1b6509ef-70d7-46e4-9c8e-587bb6ace95f,sub-796630,2025-08-28,DMD1,45,0.36213624759691776,0.35171160497102066,0.17223861118445213,0.24466563308178071,0.47053570257013155,0.25750605235098695,0.22094260125611712,0.16934136903106511,0.14090138834424024,0.34052072778480647,36
1b6509ef-70d7-46e4-9c8e-587bb6ace95f,sub-796630,2025-08-28,DMD2,74,0.24445777659278542,0.23249247521637106,0.15237496139487267,0.10774515378791477,0.357652188370689,0.19448758375877415,0.19446437883345288,0.11456213770538427,0.09447448645458309,0.27355731509520176,40
b8c05ec0-0a74-46f5-956d-e82af3cc5d27,sub-796630,2025-08-25,DMD1,48,0.43118611004162205,0.4292377436681877,0.20991729394603642,0.27829933908203625,0.5663745461556671,0.227806540293394,0.2154403948349502,0.11176120765401706,0.15024241373808506,0.2959313970703421,40
b8c05ec0-0a74-46f5-956d-e82af3cc5d27,sub-796630,2025-08-25,DMD2,85,0.21585818567202905,0.16809916216758392,0.14651838164774625,0.11607550543599764,0.2930109583584906,0.1236199531229811,0.08852043649572057,0.10031530467338902,0.060006426623620414,0.14269337286374578,34
eb2eb08b-14b2-479d-ac1b-1259db054727,sub-796630,2025-09-26,DMD1,69,0.39038502212847276,0.38053781925638896,0.19030187552413105,0.24921333257600436,0.5570931871939934,0.2671239168915953,0.23191688154945178,0.15313679937524863,0.13220383516369585,0.36028843800900995,55
eb2eb08b-14b2-479d-ac1b-1259db054727,sub-796630,2025-09-26,DMD2,98,0.21530604542564596,0.18454020281849182,0.1440691944620155,0.09482964585356252,0.30033254956106004,0.1456996007646505,0.12252716168719183,0.09136370495309099,0.07820075259202865,0.20048962379179092,46
d5120d10-e8b5-469b-b7a1-0b03cef0a831,sub-801381,2025-10-02,DMD1,129,0.26809403212126043,0.23064750694507757,0.14171147045597038,0.1659571964610717,0.35986715540243824,0.18321157664585241,0.1629168914992782,0.11402406656480125,0.10562648263384183,0.22437655097216397,79
d5120d10-e8b5-469b-b7a1-0b03cef0a831,sub-801381,2025-10-02,DMD2,74,0.14872822065462546,0.12783106228043567,0.08601067826956676,0.08636783386468065,0.19306099482770422,0.11597638384551276,0.10980876394572114,0.06766779713608725,0.06385863012291743,0.14584292219616316,14
44871646-ca8d-440d-b970-5756ed7cb47e,sub-796630,2025-10-01,DMD1,91,0.42982804860582174,0.4424900370160897,0.21135901832911794,0.2618063609330974,0.6076275304682754,0.2833930194676463,0.28017671746100953,0.15859030725171883,0.14692262602220305,0.42782971542868986,76
44871646-ca8d-440d-b970-5756ed7cb47e,sub-796630,2025-10-01,DMD2,136,0.1901158086822204,0.1617458324556379,0.13588369257482238,0.08764379463562347,0.26931776471912927,0.1450209914048846,0.12552940803011087,0.09695190990136222,0.06984064277119294,0.18630691154415419,51
